index,accX_L,accY_L,accZ_L,total_acc_L,accX_R,accY_R,accZ_R,total_acc_R,L_act,R_act
0,-0.82,0.425,-0.355,0.9890000000000001,-0.878,0.401,-0.252,0.998,Idle,Idle
1,-0.8190000000000001,0.42700000000000005,-0.35600000000000004,0.99,-0.8590000000000001,0.39399999999999996,-0.244,0.976,Idle,Idle
2,-0.821,0.42700000000000005,-0.35700000000000004,0.992,-0.873,0.418,-0.258,1.002,Idle,Idle
3,-0.82,0.426,-0.35700000000000004,0.991,-0.865,0.387,-0.252,0.981,Idle,Idle
4,-0.8190000000000001,0.42700000000000005,-0.355,0.99,-0.879,0.4,-0.25,0.998,Idle,Idle
5,-0.8190000000000001,0.42700000000000005,-0.35600000000000004,0.99,-0.8809999999999999,0.41100000000000003,-0.257,1.006,Idle,Idle
6,-0.8190000000000001,0.425,-0.355,0.9890000000000001,-0.8759999999999999,0.41100000000000003,-0.24600000000000002,0.998,Idle,Idle
7,-0.8190000000000001,0.426,-0.358,0.99,-0.87,0.40399999999999997,-0.247,0.991,Idle,Idle
8,-0.818,0.425,-0.358,0.9890000000000001,-0.868,0.402,-0.255,0.99,Idle,Idle
9,-0.8190000000000001,0.428,-0.358,0.991,-0.87,0.397,-0.253,0.9890000000000001,Idle,Idle
10,-0.8190000000000001,0.42700000000000005,-0.355,0.99,-0.8690000000000001,0.401,-0.249,0.9890000000000001,Idle,Idle
11,-0.8190000000000001,0.426,-0.361,0.991,-0.888,0.419,-0.259,1.015,Idle,Idle
12,-0.8190000000000001,0.428,-0.35600000000000004,0.99,-0.87,0.40299999999999997,-0.242,0.9890000000000001,Idle,Idle
13,-0.818,0.42700000000000005,-0.355,0.9890000000000001,-0.86,0.396,-0.242,0.977,Idle,Idle
14,-0.8170000000000001,0.426,-0.35700000000000004,0.988,-0.863,0.41100000000000003,-0.251,0.988,Idle,Idle
15,-0.818,0.42700000000000005,-0.355,0.9890000000000001,-0.8759999999999999,0.418,-0.263,1.006,Idle,Idle
